NHS_NUMBER,DATE_OF_BIRTH,DATE_OF_DEATH,FAMILY_NAME,GIVEN_NAME,OTHER_GIVEN_NAME,TITLE,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,POST_CODE,SENSITIVE_FLAG,PRIMARY_CARE_CODE
9476719915,13/06/1952,,MCVEY,Sophie,,MS,,10 ST. CATHERINES CRESCENT,,SCUNTHORPE,S HUMBERSIDE,DN16 3LQ,,A21472
9476719923,02/11/1953,,PROUT,Sybill,Bertha,MS,,30 HALTON CLOSE,KIRTON LINDSEY,GAINSBOROUGH,LINCS,DN21 4PX,,A21472
9476719931,31/05/1952,,DAWES,Minnie,,MRS,,24 GRAMMAR SCHOOL ROAD,,BRIGG,,DN20 8AF,,A21472
9476719958,18/09/1955,,BANTON,Dolly,Zenia,MRS,,11 QUEENSWAY,,SCUNTHORPE,S HUMBERSIDE,DN16 2BZ,,A21472
9476719966,01/01/1953,,MACKIN,Ruby,Laura,MISS,,3 WILDERSPIN HEIGHTS,,BARTON-UPON-HUMBER,S HUMBERSIDE,DN18 5SN,,A21472
9476719974,02/07/1992,10/07/2007,PHELAN,Julian,Earl,MR,FARM HOUSE,BONNYHALE ROAD,EALAND,SCUNTHORPE,S HUMBERSIDE,DN17 4JQ,,A21472
9476113162,02/11/1953,,HARDY,Tania,Lara,MS,,10 FERRIBY ROAD,,SCUNTHORPE,S HUMBERSIDE,DN17 2EQ,S,A21471
9476113170,11/05/1958,,BULLEN,Dwayne,,MR,,4 MILL LANE,WESTWOODSIDE,DONCASTER,S YORKSHIRE,DN9 2AF,,A21471
9476113189,13/05/1959,,MINTON,Roland,,MR,,4 HERON WAY,,BARTON-UPON-HUMBER,,DN18 5FF,,A21471
9476113197,22/10/1964,,BRYAN,Arlene,Dolly,MS,,34 SPILSBY ROAD,,SCUNTHORPE,S HUMBERSIDE,DN17 2JF,,A21471
9476113200,09/03/1965,,CRABB,Nelly,Daisy,MS,COACH HOUSE,MILLERS BROOK,BELTON,DONCASTER,S YORKSHIRE,DN9 1WA,,A21471
9476113219,30/12/1980,07/04/2003,COFFEY,Stacey,Vicki,MRS,IVY HOUSE,,WHITTON,SCUNTHORPE,,DN15 9LJ,,A21471
9476728329,14/05/1955,,HOOD,Kari,,MRS,,11 DIANA STREET,,SCUNTHORPE,,DN15 6AU,,A21475
9476728337,15/11/1954,,FOSTER,Yvette,Deanna,MS,,100 BERKELEY STREET,,SCUNTHORPE,S HUMBERSIDE,DN15 7LJ,,A21475
9476728345,24/09/1955,,STUBBS,Yvonne,Clara,MRS,,65 DEWSBURY AVENUE,,SCUNTHORPE,S HUMBERSIDE,DN15 8AJ,,A21475
9476728353,22/01/1955,,READEN,Lisa,Edina,MS,,1 ASH GROVE,,BRIGG,S HUMBERSIDE,DN20 8AQ,,A21475
9476728361,05/10/1951,,DRIVER,Norma,Susie,MRS,2A,GEORGE STREET,KIRTON LINDSEY,GAINSBOROUGH,,DN21 4NA,,A21475
9476728388,19/04/1981,25/11/1981,MOFFAT,Duncan,Rufus,MR,,2 SPENCER AVENUE,,SCUNTHORPE,S HUMBERSIDE,DN15 7RY,,A21475
9476730129,12/07/1953,,LOWDAY,Serena,,MS,,12 WEST VIEW,MESSINGHAM,SCUNTHORPE,S HUMBERSIDE,DN17 3PF,,A21474
9476730137,03/10/1952,,SPEEDY,Faye,Cath,MISS,,22 CHURCH STREET,EPWORTH,DONCASTER,,DN9 1ER,,A21474
9476730145,09/10/1954,,COWPER,Jean,Marie,MRS,TORBAY COURT,TORRINGTON ROAD,,SCUNTHORPE,,DN17 1UT,,A21474
9476730153,14/02/1956,,HELSBY,Myrtle,Roslyn,MRS,MARISTOWE,BELTON ROAD,BELTOFT,DONCASTER,S YORKSHIRE,DN9 1NN,,A21474
9476730161,06/12/1955,,HOOS,Elisa,Lilly,MISS,,10 WILLIAM STREET,,SCUNTHORPE,S HUMBERSIDE,DN16 1SZ,,A21474
9476730188,12/06/1977,26/10/1991,FARMER,Matt,,,,,,,,,,
