SPINE_NHS_NUMBER,NAME_FAMILY,NAME_GIVEN,GENDER,DOB
9000000017,GPCRegisterFamilyNameOne,GPCRegisterGivenNameOne,MALE,2017-05-05
9476719931,GPCRegisterFamilyNameTwo,GPCRegisterGivenNameTwo,FEMALE,2017-05-05
9014633998,aaaaa,aaaaaaa,OTHER,2017-05-05
9014634005,bbbb,bbbbbbbb,UNKNOWN,2017-05-05
9014634013,ccccc,ccccccc,FEMALE,2017-05-05
9014634021,dddd,ddddddddd,FEMALE,2017-05-05
9014634048,eeee,eeeeeee,MALE,2017-05-05
9014634056,ffff,ffffff,FEMALE,2017-05-05
9014634064,ggg,ggggggg,FEMALE,2017-05-05
9014634072,hhh,hhhhhh,FEMALE,2017-05-05
9014634080,iiiii,iiiiiii,FEMALE,2017-05-05
9014634099,jjjjj,jjjjjjjjj,FEMALE,2017-05-05
9014634102,kkkk,kkkkkkk,MALE,2017-05-05
9014634110,lllll,lllllllll,FEMALE,2017-05-05
9014634129,mmmm,mmmmmmmm,FEMALE,2017-05-05
9014634137,nnnnnnn,nnnnnnnnnnnnnn,FEMALE,2017-05-05
9014634145,ooo,oooo,FEMALE,2017-05-05
9014634153,pppp,pppppp,OTHER,2017-05-05
9014634161,qqqq,qqqqqqqq,FEMALE,2017-05-05
9014634188,rrrrrrrr,rrrrrrrrrrrrrrrrrrrr,FEMALE,2017-05-05
